owner_project,teamno,noofmembers,concerned_years,noofyears,proj_size,proj_language,proj_age,median_pr_merged,stanfordandgender,stanfordandgenderwithoutNAN,eth_stanandnameprism_st,eth_stanandnameprism_st_withoutNAN,knownethnicityprop,knowngenderprop,atleast75genprop,ethblau_st_cat,eth_blau_index,gender_blau_index,project_star_count,project_watchers_count,project_language,project_forks_count
OpenNMS_opennms,2,3,"['2018', '2017', '2016', '2015']",4,539329,Java,2090,9,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,471,471,Java,432
resteasy_Resteasy,1,3,"['2017', '2016', '2018']",3,51577,Java,2579,5,"['male', 'male', 'female']","['male', 'male', 'female']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0.444444444,857,857,Java,785
project-ncl_pnc,8,3,"['2018', '2017', '2016']",3,22285,Java,1499,3,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,25,25,Java,43
moderntribe_the-events-calendar,13,4,"['2018', '2017']",2,99473,PHP,1796,4,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['Unknown', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,1,1,heterogeneous,0,0,186,186,PHP,148
scala_scala,128,5,"['2018', '2017', '2015', '2012']",4,123866,Scala,2587,6,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'Hispanic', 'White']","['White', 'White', 'White', 'Hispanic', 'White']",1,1,1,heterogeneous,0.32,0,12340,12340,Scala,2831
Katello_katello,71,5,"['2018', '2017']",2,108861,Ruby,2454,13,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'API', 'White']","['White', 'White', 'White', 'API', 'White']",1,1,1,heterogeneous,0.32,0,278,278,Ruby,233
amplab_tachyon,46,5,['2018'],1,118997,Java,2201,12,"['male', 'male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'male', 'UnKnown']","['API', 'API', 'White', 'White', 'NAN']","['API', 'API', 'White', 'White', 'Unknown']",0.8,0.8,1,heterogeneous,0.5,0,4446,4446,Java,2280
openmicroscopy_openmicroscopy,8,5,"['2017', '2016', '2014', '2018']",4,1982999,C++,2692,19,"['male', 'male', 'male', 'UnKnown', 'male']","['male', 'male', 'male', 'UnKnown', 'male']","['White', 'White', 'White', 'Unknown', 'White']","['White', 'White', 'White', 'Unknown', 'White']",0.8,0.8,1,heterogeneous,0,0,134,134,C++,98
Katello_katello,72,4,"['2018', '2017', '2016', '2015']",4,108861,Ruby,2454,4.5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,278,278,Ruby,233
amplab_tachyon,45,6,['2018'],1,118997,Java,2201,5.5,"['male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male']","['API', 'API', 'White', 'White', 'Unknown', 'API']","['API', 'API', 'White', 'White', 'Unknown', 'API']",0.833333333,1,1,heterogeneous,0.48,0,4446,4446,Java,2280
sillsdev_libpalaso,3,4,"['2018', '2017']",2,31256,C#,1823,3,"['male', 'UnKnown', 'male', 'male']","['male', 'UnKnown', 'male', 'male']","['White', 'NAN', 'White', 'White']","['White', 'Unknown', 'White', 'White']",0.75,0.75,1,heterogeneous,0,0,21,21,C#,39
scala_scala,110,9,"['2018', '2017']",2,123866,Scala,2587,27,"['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'NAN', 'White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'Unknown', 'White', 'White', 'White', 'White', 'White']",0.888888889,0.888888889,1,heterogeneous,0,0,12340,12340,Scala,2831
scala_scala,72,5,"['2018', '2017', '2016']",3,123866,Scala,2587,10,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,12340,12340,Scala,2831
scala_scala,159,5,"['2018', '2017', '2016', '2015']",4,123866,Scala,2587,8,"['male', 'male', 'UnKnown', 'male', 'male']","['male', 'male', 'UnKnown', 'male', 'male']","['White', 'White', 'NAN', 'White', 'White']","['White', 'White', 'Unknown', 'White', 'White']",0.8,0.8,1,heterogeneous,0,0,12340,12340,Scala,2831
scala_scala,129,5,"['2018', '2017', '2015']",3,123866,Scala,2587,7,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'Hispanic', 'White']","['White', 'White', 'White', 'Hispanic', 'White']",1,1,1,heterogeneous,0.32,0,12340,12340,Scala,2831
scala_scala,62,3,"['2018', '2017', '2016', '2015']",4,123866,Scala,2587,3,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,12340,12340,Scala,2831
scala_scala,126,5,"['2018', '2017', '2016', '2015', '2014', '2013']",6,123866,Scala,2587,7,"['male', 'male', 'male', 'male', 'UnKnown']","['male', 'male', 'male', 'male', 'UnKnown']","['White', 'White', 'White', 'White', 'NAN']","['White', 'White', 'White', 'White', 'Unknown']",0.8,0.8,1,heterogeneous,0,0,12340,12340,Scala,2831
AliceO2Group_AliceO2,7,4,"['2018', '2017']",2,171222,C++,1546,13.5,"['UnKnown', 'male', 'male', 'male']","['UnKnown', 'male', 'male', 'male']","['NAN', 'White', 'White', 'White']","['Unknown', 'White', 'White', 'White']",0.75,0.75,1,heterogeneous,0,0,44,44,C++,141
neo4j_neo4j,2,3,"['2018', '2017']",2,470189,Java,2240,1,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,7188,7188,Java,1727
resteasy_Resteasy,4,3,"['2017', '2018']",2,51577,Java,2579,4,"['male', 'male', 'male']","['male', 'male', 'male']","['White', 'White', 'White']","['White', 'White', 'White']",1,1,1,homogeneous,0,0,857,857,Java,785
apache_drill,32,4,['2018'],1,84066,Java,2308,3,"['male', 'female', 'male', 'male']","['male', 'female', 'male', 'male']","['API', 'White', 'White', 'White']","['API', 'White', 'White', 'White']",1,1,1,heterogeneous,0.375,0.375,1317,1317,Java,778
Katello_katello,7,5,"['2018', '2017', '2016']",3,108861,Ruby,2454,8,"['male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'API']","['White', 'White', 'White', 'White', 'API']",1,1,1,heterogeneous,0.32,0,278,278,Ruby,233
amplab_tachyon,52,6,['2018'],1,118997,Java,2201,9,"['male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male']","['API', 'API', 'White', 'Unknown', 'API', 'API']","['API', 'API', 'White', 'Unknown', 'API', 'API']",0.833333333,1,1,heterogeneous,0.32,0,4446,4446,Java,2280
